Date,Team1,Team2,Winner,Venue
6/3/2012,Sri Lanka,Pakistan,Pakistan,Hambantota
6/24/2012,England,West Indies,England,Nottingham
6/30/2012,New Zealand,West Indies,West Indies,Lauderhill
7/1/2012,New Zealand,West Indies,West Indies,Lauderhill
7/18/2012,Ireland,Bangladesh,Bangladesh,Belfast
7/20/2012,Ireland,Bangladesh,Bangladesh,Belfast
7/21/2012,Ireland,Bangladesh,Bangladesh,Belfast
7/24/2012,Bangladesh,Scotland,Scotland,The Hague
7/25/2012,Netherlands,Bangladesh,Bangladesh,The Hague
7/26/2012,Netherlands,Bangladesh,Netherlands,The Hague
8/7/2012,Sri Lanka,India,India,Pallekele
9/5/2012,Australia,Pakistan,Pakistan,Dubai (DICS)
9/7/2012,Australia,Pakistan,tied,Dubai (DICS)
9/8/2012,England,South Africa,South Africa,Chester-le-Street
9/10/2012,England,South Africa,tied,Manchester
9/10/2012,Australia,Pakistan,Australia,Dubai (DICS)
9/11/2012,India,New Zealand,New Zealand,Chennai
9/12/2012,England,South Africa,England,Birmingham
9/18/2012,Sri Lanka,Zimbabwe,Sri Lanka,Hambantota
9/19/2012,Afghanistan,India,India,Colombo (RPS)
9/19/2012,Australia,Ireland,Australia,Colombo (RPS)
9/20/2012,South Africa,Zimbabwe,South Africa,Hambantota
9/21/2012,Afghanistan,England,England,Colombo (RPS)
9/21/2012,Bangladesh,New Zealand,New Zealand,Pallekele
9/22/2012,Australia,West Indies,Australia,Colombo (RPS)
9/22/2012,Sri Lanka,South Africa,South Africa,Hambantota
9/23/2012,England,India,India,Colombo (RPS)
9/23/2012,New Zealand,Pakistan,Pakistan,Pallekele
9/24/2012,Ireland,West Indies,tied,Colombo (RPS)
9/25/2012,Bangladesh,Pakistan,Pakistan,Pallekele
9/27/2012,England,West Indies,West Indies,Pallekele
9/27/2012,Sri Lanka,New Zealand,tied,Pallekele
9/28/2012,Australia,India,Australia,Colombo (RPS)
9/28/2012,Pakistan,South Africa,Pakistan,Colombo (RPS)
9/29/2012,Sri Lanka,West Indies,Sri Lanka,Pallekele
9/29/2012,England,New Zealand,England,Pallekele
9/30/2012,India,Pakistan,India,Colombo (RPS)
9/30/2012,Australia,South Africa,Australia,Colombo (RPS)
10/1/2012,Sri Lanka,England,Sri Lanka,Pallekele
10/1/2012,New Zealand,West Indies,tied,Pallekele
10/2/2012,India,South Africa,India,Colombo (RPS)
10/2/2012,Australia,Pakistan,Pakistan,Colombo (RPS)
10/4/2012,Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS)
10/5/2012,Australia,West Indies,West Indies,Colombo (RPS)
10/7/2012,Sri Lanka,West Indies,West Indies,Colombo (RPS)
10/30/2012,Sri Lanka,New Zealand,tied,Pallekele
12/10/2012,Bangladesh,West Indies,West Indies,Mirpur
12/20/2012,India,England,India,Pune
12/21/2012,South Africa,New Zealand,South Africa,Durban
12/22/2012,India,England,England,Wankhede
12/23/2012,South Africa,New Zealand,New Zealand,East London
